Date,Title,Event,Location,Details,Author,Link
25/06/2026,Animated Biplot Visualisations of African Climate Patterns,ADSC 2026,Wits University,Invited Paper ,presenting,https://raeesaganey91.github.io/ADSC2026slides/moveEZ_ADSC2026_updated.html#/title-slide
28/11/2025,Animated climate change biplots with moveEZ,SASA 2025,Vanderbiljpark,Contributed talk,co-author,https://jnienk.github.io/SASA2025_slides/
28/11/2025,Statistical analysis of emissions and performance of a wood-fulled stove for low-income households,SASA 2025,Vanderbiljpark,Contributed talk,co-author,
22/11/2024,Mapping linguistic beauty: biplot analysis of 228 world language patterns,SASA 2024,Stellenbosch,Contributed talk,presenting,
21/11/2024,Log-Ratio Analysis and Compositional Biplots of Milk Fatty Acids,SASA 2024,Stellenbosch,Contributed talk,co-author,
01/11/2023,A Canonical Variate Analysis Biplot based on the Generalised Singular Value Decomposition,SASA 2023,Durban,Contributed talk,presenting,
30/11/2023,Understanding the complexity of Fatty Acid Profiles in Milk with Compositional Data Analysis ,SASA 2023,Durban,Contributed talk,presenting,
01/12/2023,BiplotEZ R package for EZier biplots,SASA 2023,Durban,Contributed talk,co-author,
30/11/2022,High-dimensional LDA biplot through the GSVD,SASA 2022,George,Contributed talk,presenting,
27/11/2018,Visualising Multidmensional Data using a Principal Surface Biplot,SASA 2018,Johannesburg,Contributed talk,presenting,
30/11/2017,Biplots based on Principal Surfaces ,SASA 2017,Bloemfontein,Contributed talk,presenting,
